--------------- VOSTOK FLIGHT DATA ---------------
	battery	alt	temp	accelX	accelY	accelZ	rotA	rotX	rotY	rotZ
6.43	104.00	-0.41	40.40	0.52	-8.05	-0.27	0.57	-1.00	-0.09	0.00
6.44	104.00	-0.41	40.40	0.51	-8.07	-0.29	0.57	-1.00	-0.09	0.00
6.45	104.00	-0.41	40.40	0.53	-8.04	-0.30	0.58	-1.00	-0.09	0.00
6.46	104.00	-0.35	40.40	0.55	-8.05	-0.27	0.59	-1.00	-0.09	0.00
6.47	104.00	-0.35	40.40	0.54	-8.05	-0.28	0.59	-1.00	-0.09	0.00
6.47	104.00	-0.35	40.40	0.55	-8.07	-0.30	0.60	-1.00	-0.09	0.00
6.49	104.00	-0.35	40.40	0.56	-8.07	-0.27	0.61	-1.00	-0.09	0.00
6.49	104.00	-0.35	40.41	0.57	-8.06	-0.31	0.61	-1.00	-0.09	0.00
6.51	104.00	-0.35	40.41	0.56	-8.06	-0.28	0.62	-1.00	-0.09	0.00
6.51	104.00	-0.35	40.41	0.57	-8.08	-0.33	0.62	-1.00	-0.09	0.00
6.53	104.00	-0.35	40.41	0.56	-8.08	-0.27	0.63	-1.00	-0.09	0.00
6.53	104.00	-0.38	40.42	0.60	-8.04	-0.30	0.64	-1.00	-0.09	0.00
6.55	104.00	-0.38	40.42	0.59	-8.07	-0.29	0.64	-1.00	-0.09	0.00
6.55	104.00	-0.38	40.42	0.60	-8.08	-0.32	0.65	-1.00	-0.09	0.00
6.57	104.00	-0.36	40.42	0.60	-8.06	-0.30	0.65	-1.00	-0.09	0.00
6.57	104.00	-0.36	40.42	0.63	-8.06	-0.32	0.66	-1.00	-0.09	0.00
6.59	104.00	-0.36	40.42	0.63	-8.06	-0.34	0.67	-1.00	-0.09	0.00
6.59	104.00	-0.36	40.42	0.63	-8.06	-0.31	0.67	-1.00	-0.09	0.00
6.61	104.00	-0.39	40.43	0.62	-8.06	-0.29	0.68	-1.00	-0.09	0.00
6.62	104.00	-0.39	40.43	0.64	-8.04	-0.31	0.68	-1.00	-0.09	0.00
6.62	104.00	-0.39	40.43	0.62	-8.05	-0.30	0.69	-1.00	-0.09	0.00
6.64	104.00	-0.39	40.43	0.65	-8.07	-0.29	0.70	-1.00	-0.09	0.00
6.64	104.00	-0.39	40.43	0.65	-8.08	-0.33	0.70	-1.00	-0.09	0.00
6.66	104.00	-0.39	40.43	0.64	-8.08	-0.28	0.71	-1.00	-0.09	0.00
6.66	104.00	-0.39	40.43	0.65	-8.05	-0.33	0.71	-1.00	-0.09	0.00
6.68	104.00	-0.39	40.43	0.64	-8.07	-0.31	0.72	-1.00	-0.09	0.00
6.68	104.00	-0.36	40.44	0.63	-8.09	-0.31	0.72	-1.00	-0.09	0.00
6.70	104.00	-0.36	40.44	0.66	-8.04	-0.28	0.73	-1.00	-0.09	0.00
6.70	104.00	-0.36	40.44	0.64	-8.09	-0.27	0.74	-1.00	-0.09	0.00
6.72	104.00	-0.36	40.44	0.64	-8.08	-0.30	0.74	-1.00	-0.09	0.00
6.72	104.00	-0.38	40.44	0.62	-8.06	-0.26	0.75	-1.00	-0.09	0.00
6.74	104.00	-0.38	40.44	0.62	-8.04	-0.24	0.75	-1.00	-0.09	0.00
6.74	104.00	-0.38	40.44	0.60	-8.06	-0.27	0.76	-1.00	-0.09	0.00
6.76	104.00	-0.38	40.44	0.62	-8.10	-0.28	0.76	-1.00	-0.09	0.00
6.76	104.00	-0.38	40.45	0.60	-8.07	-0.25	0.77	-1.00	-0.09	0.00
6.78	104.00	-0.38	40.45	0.59	-8.05	-0.27	0.77	-1.00	-0.09	0.00
6.78	104.00	-0.38	40.45	0.59	-8.06	-0.25	0.78	-1.00	-0.09	0.00
6.80	104.00	-0.38	40.45	0.55	-8.06	-0.27	0.78	-1.00	-0.09	0.00
6.80	104.00	-0.38	40.45	0.55	-8.07	-0.24	0.79	-1.00	-0.09	0.00
6.82	104.00	-0.38	40.45	0.58	-8.03	-0.24	0.80	-1.00	-0.09	0.00
6.82	104.00	-0.38	40.45	0.56	-8.04	-0.24	0.80	-1.00	-0.09	0.00
6.84	104.00	-0.34	40.45	0.56	-8.04	-0.26	0.81	-1.00	-0.09	0.00
6.84	104.00	-0.34	40.45	0.52	-8.07	-0.26	0.81	-1.00	-0.09	0.00
6.86	104.00	-0.34	40.45	0.55	-8.07	-0.26	0.82	-1.00	-0.09	0.00
6.86	104.00	-0.34	40.45	0.54	-8.06	-0.25	0.82	-1.00	-0.09	0.00
6.88	104.00	-0.36	40.46	0.52	-8.04	-0.25	0.83	-1.00	-0.09	0.00
6.89	104.00	-0.36	40.46	0.53	-8.06	-0.24	0.83	-1.00	-0.09	0.00
6.89	104.00	-0.36	40.46	0.55	-8.05	-0.28	0.84	-1.00	-0.09	0.00
6.91	104.00	-0.36	40.46	0.53	-8.03	-0.26	0.84	-1.00	-0.09	0.00
6.91	104.00	-0.34	40.46	0.51	-8.04	-0.22	0.85	-1.00	-0.09	0.00
6.93	104.00	-0.34	40.46	0.52	-8.06	-0.27	0.85	-1.00	-0.09	0.00
6.94	104.00	-0.34	40.46	0.50	-8.06	-0.24	0.86	-1.00	-0.09	0.00
6.95	104.00	-0.34	40.46	0.54	-8.03	-0.23	0.86	-1.00	-0.09	0.00
6.95	104.00	-0.33	40.47	0.53	-8.04	-0.26	0.87	-1.00	-0.09	0.00
6.97	104.00	-0.33	40.47	0.53	-8.07	-0.21	0.87	-1.00	-0.09	0.00
6.97	104.00	-0.33	40.47	0.54	-8.05	-0.21	0.88	-1.00	-0.09	0.00
6.99	104.00	-0.33	40.47	0.57	-8.06	-0.25	0.88	-1.00	-0.09	0.00
7.00	104.00	-0.33	40.47	0.55	-8.07	-0.24	0.88	-1.00	-0.09	0.00
7.01	104.00	-0.33	40.47	0.57	-8.05	-0.25	0.89	-1.00	-0.09	0.00
7.04	104.00	-0.38	40.47	0.58	-8.04	-0.25	0.90	-1.00	-0.09	0.00
7.05	104.00	-0.38	40.47	0.54	-8.04	-0.21	0.91	-1.00	-0.09	0.00
7.06	104.00	-0.38	40.47	0.58	-8.05	-0.26	0.91	-1.00	-0.09	0.00
7.07	104.00	-0.39	40.48	0.62	-8.07	-0.26	0.92	-1.00	-0.09	0.00
7.08	104.00	-0.39	40.48	0.60	-8.06	-0.26	0.92	-1.00	-0.09	0.00
7.09	104.00	-0.39	40.48	0.62	-8.06	-0.28	0.93	-1.00	-0.09	0.00
7.10	104.00	-0.39	40.48	0.63	-8.07	-0.28	0.93	-1.00	-0.09	0.00
7.11	104.00	-0.41	40.48	0.61	-8.07	-0.29	0.94	-1.00	-0.09	0.00
7.12	104.00	-0.41	40.48	0.63	-8.05	-0.29	0.94	-1.00	-0.09	0.00
7.13	104.00	-0.41	40.48	0.64	-8.05	-0.31	0.95	-1.00	-0.09	0.00
7.14	104.00	-0.41	40.48	0.63	-8.05	-0.29	0.95	-1.00	-0.09	0.00
7.15	104.00	-0.37	40.48	0.66	-8.08	-0.28	0.95	-1.00	-0.09	0.00
7.16	104.00	-0.37	40.48	0.64	-8.05	-0.31	0.96	-1.00	-0.09	0.00
7.17	104.00	-0.37	40.48	0.62	-8.07	-0.30	0.96	-1.00	-0.09	0.00
7.18	104.00	-0.37	40.48	0.66	-8.05	-0.31	0.97	-1.00	-0.09	0.00
7.19	104.00	-0.38	40.48	0.63	-8.06	-0.32	0.97	-1.00	-0.09	0.00
7.20	104.00	-0.38	40.48	0.63	-8.07	-0.33	0.98	-1.00	-0.09	0.00
7.21	104.00	-0.38	40.48	0.64	-8.05	-0.31	0.98	-1.00	-0.09	0.00
7.22	104.00	-0.38	40.48	0.62	-8.06	-0.32	0.98	-1.00	-0.09	0.00
7.23	104.00	-0.38	40.48	0.63	-8.07	-0.30	0.99	-1.00	-0.09	0.00
7.24	104.00	-0.38	40.48	0.62	-8.09	-0.32	0.99	-1.00	-0.09	0.00
7.25	104.00	-0.38	40.48	0.63	-8.06	-0.36	1.00	-1.00	-0.09	0.00
7.26	104.00	-0.35	40.49	0.63	-8.07	-0.32	1.00	-1.00	-0.09	0.00
7.27	104.00	-0.35	40.49	0.64	-8.08	-0.34	1.00	-1.00	-0.09	0.01
7.28	104.00	-0.35	40.49	0.60	-8.07	-0.34	1.01	-1.00	-0.09	0.01
7.29	104.00	-0.35	40.49	0.60	-8.07	-0.31	1.01	-1.00	-0.09	0.01
7.30	104.00	-0.40	40.49	0.61	-8.07	-0.33	1.02	-1.00	-0.09	0.01
7.31	104.00	-0.40	40.49	0.62	-8.06	-0.35	1.02	-1.00	-0.09	0.01
7.32	104.00	-0.40	40.49	0.61	-8.05	-0.31	1.02	-1.00	-0.09	0.01
7.33	104.00	-0.40	40.49	0.59	-8.04	-0.32	1.03	-1.00	-0.09	0.01
7.34	104.00	-0.37	40.49	0.56	-8.05	-0.29	1.03	-1.00	-0.09	0.01
7.35	104.00	-0.37	40.49	0.56	-8.04	-0.28	1.04	-1.00	-0.09	0.01
7.36	104.00	-0.37	40.49	0.60	-8.07	-0.29	1.04	-1.00	-0.09	0.01
7.37	104.00	-0.37	40.49	0.57	-8.06	-0.29	1.04	-1.00	-0.09	0.01
7.38	104.00	-0.38	40.50	0.57	-8.07	-0.27	1.05	-1.00	-0.09	0.01
7.39	104.00	-0.38	40.50	0.56	-8.06	-0.28	1.05	-1.00	-0.09	0.01
7.40	104.00	-0.38	40.50	0.53	-8.08	-0.26	1.05	-1.00	-0.09	0.01
7.41	104.00	-0.38	40.50	0.55	-8.07	-0.28	1.06	-1.00	-0.09	0.01
7.42	104.00	-0.39	40.50	0.56	-8.04	-0.23	1.06	-1.00	-0.09	0.01
7.43	104.00	-0.39	40.50	0.56	-8.05	-0.24	1.07	-1.00	-0.09	0.01
7.44	104.00	-0.39	40.50	0.54	-8.05	-0.24	1.07	-1.00	-0.09	0.01
7.45	104.00	-0.39	40.50	0.54	-8.05	-0.21	1.07	-1.00	-0.09	0.01
7.46	104.00	-0.39	40.50	0.53	-8.05	-0.23	1.08	-1.00	-0.09	0.01
7.47	104.00	-0.39	40.50	0.51	-8.06	-0.21	1.08	-1.00	-0.09	0.01
7.48	104.00	-0.39	40.50	0.53	-8.08	-0.25	1.08	-1.00	-0.09	0.01
7.49	104.00	-0.40	40.50	0.54	-8.09	-0.22	1.09	-1.00	-0.09	0.01
7.50	104.00	-0.40	40.50	0.57	-8.04	-0.22	1.09	-1.00	-0.09	0.01
7.51	104.00	-0.40	40.50	0.53	-8.04	-0.21	1.09	-1.00	-0.09	0.01
7.52	104.00	-0.40	40.50	0.55	-8.06	-0.21	1.10	-1.00	-0.09	0.01
7.53	104.00	-0.37	40.50	0.58	-8.06	-0.20	1.10	-1.00	-0.09	0.01
7.54	104.00	-0.37	40.50	0.53	-8.05	-0.24	1.10	-1.00	-0.09	0.01
7.55	104.00	-0.37	40.50	0.57	-8.06	-0.27	1.11	-1.00	-0.09	0.01
7.56	104.00	-0.37	40.50	0.60	-8.06	-0.21	1.11	-1.00	-0.09	0.01
7.57	104.00	-0.35	40.51	0.56	-8.08	-0.21	1.11	-1.00	-0.09	0.01
7.58	104.00	-0.35	40.51	0.58	-8.03	-0.19	1.12	-1.00	-0.09	0.01
7.59	104.00	-0.35	40.51	0.56	-8.04	-0.23	1.12	-1.00	-0.09	0.01
7.60	104.00	-0.35	40.51	0.60	-8.08	-0.26	1.12	-1.00	-0.09	0.01
7.61	104.00	-0.38	40.51	0.61	-8.05	-0.30	1.13	-1.00	-0.09	0.01
7.62	104.00	-0.38	40.51	0.59	-8.05	-0.27	1.13	-1.00	-0.09	0.01
7.63	104.00	-0.38	40.51	0.62	-8.06	-0.27	1.13	-1.00	-0.09	0.01
7.64	104.00	-0.38	40.51	0.61	-8.05	-0.29	1.14	-1.00	-0.09	0.01
7.65	104.00	-0.39	40.51	0.57	-8.05	-0.24	1.14	-1.00	-0.09	0.01
7.66	104.00	-0.39	40.51	0.62	-8.06	-0.29	1.14	-1.00	-0.09	0.01
7.67	104.00	-0.39	40.51	0.62	-8.06	-0.27	1.15	-1.00	-0.09	0.01
7.68	104.00	-0.40	40.51	0.59	-8.05	-0.26	1.15	-1.00	-0.09	0.01
7.69	104.00	-0.40	40.51	0.60	-8.07	-0.30	1.15	-1.00	-0.09	0.01
7.70	104.00	-0.40	40.51	0.61	-8.05	-0.33	1.15	-1.00	-0.10	0.01
7.71	104.00	-0.40	40.51	0.59	-8.05	-0.28	1.16	-1.00	-0.10	0.01
7.72	104.00	-0.35	40.51	0.60	-8.08	-0.33	1.16	-1.00	-0.10	0.01
7.73	104.00	-0.35	40.51	0.65	-8.02	-0.29	1.16	-1.00	-0.10	0.01
7.74	104.00	-0.35	40.51	0.58	-8.08	-0.32	1.17	-1.00	-0.10	0.01
7.75	104.00	-0.35	40.51	0.65	-8.07	-0.31	1.17	-1.00	-0.10	0.01
7.76	104.00	-0.38	40.52	0.59	-8.09	-0.32	1.17	-1.00	-0.10	0.01
7.77	104.00	-0.38	40.52	0.60	-8.04	-0.31	1.18	-1.00	-0.10	0.01
7.78	104.00	-0.38	40.52	0.62	-8.06	-0.34	1.18	-1.00	-0.10	0.01
7.79	104.00	-0.38	40.52	0.62	-8.08	-0.32	1.18	-1.00	-0.10	0.01
7.80	104.00	-0.39	40.52	0.60	-8.05	-0.31	1.18	-1.00	-0.10	0.01
7.81	104.00	-0.39	40.52	0.60	-8.06	-0.34	1.19	-1.00	-0.10	0.01
7.82	104.00	-0.39	40.52	0.62	-8.04	-0.31	1.19	-1.00	-0.10	0.01
7.83	104.00	-0.39	40.52	0.60	-8.07	-0.33	1.19	-1.00	-0.10	0.01
7.84	104.00	-0.40	40.52	0.57	-8.08	-0.32	1.20	-1.00	-0.10	0.01
7.85	104.00	-0.40	40.52	0.61	-8.07	-0.30	1.20	-1.00	-0.10	0.01
7.86	104.00	-0.40	40.52	0.60	-8.05	-0.30	1.20	-1.00	-0.10	0.01
7.87	104.00	-0.40	40.52	0.58	-8.06	-0.32	1.20	-1.00	-0.10	0.01
7.88	104.00	-0.41	40.52	0.57	-8.07	-0.23	1.21	-1.00	-0.10	0.01
7.89	104.00	-0.41	40.52	0.58	-8.07	-0.32	1.21	-1.00	-0.10	0.01
7.90	104.00	-0.41	40.52	0.58	-8.02	-0.28	1.21	-1.00	-0.10	0.01
7.91	104.00	-0.41	40.52	0.57	-8.05	-0.26	1.21	-1.00	-0.10	0.01
7.92	104.00	-0.41	40.52	0.58	-8.08	-0.25	1.22	-1.00	-0.10	0.01
7.93	104.00	-0.41	40.52	0.57	-8.06	-0.26	1.22	-1.00	-0.10	0.01
7.94	104.00	-0.41	40.52	0.57	-8.04	-0.25	1.22	-1.00	-0.10	0.01
7.95	104.00	-0.41	40.53	0.56	-8.07	-0.24	1.22	-1.00	-0.10	0.01
7.96	104.00	-0.41	40.53	0.58	-8.06	-0.28	1.23	-1.00	-0.10	0.02
7.97	104.00	-0.41	40.53	0.59	-8.08	-0.26	1.23	-1.00	-0.10	0.02
7.98	104.00	-0.41	40.53	0.58	-8.05	-0.25	1.23	-1.00	-0.10	0.02
7.99	104.00	-0.42	40.53	0.58	-8.02	-0.24	1.23	-1.00	-0.10	0.02
8.00	104.00	-0.42	40.53	0.57	-8.06	-0.23	1.24	-1.00	-0.10	0.02
8.01	104.00	-0.42	40.53	0.58	-8.06	-0.25	1.24	-1.00	-0.10	0.02
8.04	104.00	-0.39	40.53	0.55	-8.07	-0.23	1.24	-1.00	-0.10	0.02
8.05	104.00	-0.39	40.53	0.55	-8.05	-0.21	1.25	-1.00	-0.10	0.02
8.06	104.00	-0.39	40.53	0.55	-8.05	-0.22	1.25	-1.00	-0.10	0.02
8.07	104.00	-0.41	40.53	0.57	-8.05	-0.22	1.25	-1.00	-0.10	0.02
8.08	104.00	-0.41	40.53	0.54	-8.08	-0.22	1.25	-1.00	-0.10	0.02
8.09	104.00	-0.41	40.53	0.58	-8.07	-0.24	1.26	-1.00	-0.10	0.02
8.10	104.00	-0.40	40.53	0.57	-8.07	-0.24	1.26	-1.00	-0.10	0.02
8.11	104.00	-0.40	40.53	0.54	-8.05	-0.24	1.26	-1.00	-0.10	0.02
8.12	104.00	-0.40	40.53	0.56	-8.06	-0.25	1.26	-1.00	-0.10	0.02
8.13	104.00	-0.40	40.53	0.57	-8.07	-0.22	1.27	-1.00	-0.10	0.02
8.14	104.00	-0.39	40.53	0.58	-8.07	-0.24	1.27	-1.00	-0.10	0.02
8.15	104.00	-0.39	40.53	0.56	-8.07	-0.25	1.27	-1.00	-0.10	0.02
8.16	104.00	-0.39	40.53	0.58	-8.05	-0.26	1.27	-1.00	-0.10	0.02
8.17	104.00	-0.39	40.53	0.57	-8.04	-0.24	1.27	-1.00	-0.10	0.02
8.18	104.00	-0.36	40.53	0.56	-8.06	-0.25	1.28	-1.00	-0.10	0.02
8.19	104.00	-0.36	40.53	0.56	-8.03	-0.28	1.28	-1.00	-0.10	0.02
8.20	104.00	-0.36	40.53	0.57	-8.04	-0.27	1.28	-1.00	-0.10	0.02
8.21	104.00	-0.36	40.53	0.55	-8.05	-0.26	1.28	-1.00	-0.10	0.02
8.22	104.00	-0.38	40.54	0.57	-8.07	-0.28	1.28	-1.00	-0.10	0.02
8.23	104.00	-0.38	40.54	0.57	-8.06	-0.24	1.29	-1.00	-0.10	0.02
8.24	104.00	-0.38	40.54	0.55	-8.05	-0.25	1.29	-1.00	-0.10	0.02
8.25	104.00	-0.38	40.54	0.56	-8.04	-0.24	1.29	-1.00	-0.10	0.02
8.26	104.00	-0.38	40.54	0.56	-8.10	-0.29	1.29	-1.00	-0.10	0.02
8.27	104.00	-0.38	40.54	0.58	-8.07	-0.32	1.29	-1.00	-0.10	0.02
8.28	104.00	-0.38	40.54	0.62	-8.06	-0.32	1.30	-1.00	-0.10	0.02
8.29	104.00	-0.38	40.54	0.60	-8.07	-0.34	1.30	-1.00	-0.10	0.02
8.30	104.00	-0.36	40.54	0.57	-8.04	-0.30	1.30	-1.00	-0.10	0.02
8.31	104.00	-0.36	40.54	0.57	-8.05	-0.27	1.30	-1.00	-0.10	0.02
8.32	104.00	-0.36	40.54	0.56	-8.04	-0.30	1.30	-1.00	-0.10	0.02
8.33	104.00	-0.34	40.54	0.61	-8.05	-0.33	1.31	-1.00	-0.10	0.02
8.34	104.00	-0.34	40.54	0.64	-8.05	-0.34	1.31	-1.00	-0.10	0.02
8.35	104.00	-0.34	40.54	0.62	-8.08	-0.36	1.31	-1.00	-0.10	0.02
8.36	104.00	-0.34	40.54	0.61	-8.08	-0.32	1.31	-1.00	-0.10	0.02
8.37	104.00	-0.35	40.54	0.60	-8.04	-0.27	1.31	-1.00	-0.10	0.02
8.38	104.00	-0.35	40.54	0.60	-8.06	-0.29	1.32	-1.00	-0.10	0.02
8.39	104.00	-0.35	40.54	0.63	-8.08	-0.31	1.32	-1.00	-0.10	0.02
8.40	104.00	-0.35	40.54	0.63	-8.08	-0.32	1.32	-1.00	-0.10	0.02
8.41	104.00	-0.35	40.54	0.62	-8.07	-0.30	1.32	-1.00	-0.10	0.02
8.42	104.00	-0.35	40.54	0.62	-8.03	-0.32	1.32	-1.00	-0.10	0.02
8.43	104.00	-0.35	40.54	0.61	-8.06	-0.31	1.33	-1.00	-0.10	0.02
8.44	104.00	-0.35	40.54	0.62	-8.07	-0.29	1.33	-1.00	-0.10	0.02
8.45	104.00	-0.39	40.54	0.62	-8.07	-0.27	1.33	-0.99	-0.10	0.02
8.46	104.00	-0.39	40.54	0.61	-8.06	-0.27	1.33	-1.00	-0.10	0.02
8.47	104.00	-0.39	40.54	0.60	-8.07	-0.25	1.33	-0.99	-0.10	0.02
8.48	104.00	-0.39	40.54	0.60	-8.06	-0.23	1.33	-1.00	-0.10	0.02
8.49	104.00	-0.36	40.54	0.60	-8.05	-0.28	1.34	-0.99	-0.10	0.02
8.50	104.00	-0.36	40.54	0.60	-8.03	-0.27	1.34	-0.99	-0.10	0.02
8.51	104.00	-0.36	40.54	0.61	-8.03	-0.28	1.34	-1.00	-0.10	0.02
8.52	104.00	-0.36	40.54	0.58	-8.07	-0.29	1.34	-0.99	-0.10	0.02
8.53	104.00	-0.38	40.55	0.60	-8.05	-0.23	1.34	-0.99	-0.10	0.02
8.54	104.00	-0.38	40.55	0.57	-8.06	-0.24	1.34	-0.99	-0.10	0.02
8.55	104.00	-0.38	40.55	0.56	-8.05	-0.20	1.34	-0.99	-0.10	0.02
8.56	104.00	-0.37	40.55	0.56	-8.04	-0.24	1.35	-0.99	-0.10	0.02
8.57	104.00	-0.37	40.55	0.58	-8.07	-0.24	1.35	-0.99	-0.10	0.02
8.58	104.00	-0.37	40.55	0.59	-8.04	-0.26	1.35	-0.99	-0.10	0.02
8.59	104.00	-0.37	40.55	0.57	-8.05	-0.26	1.35	-0.99	-0.10	0.02
8.60	104.00	-0.37	40.55	0.57	-8.07	-0.24	1.35	-0.99	-0.10	0.02
8.61	104.00	-0.37	40.55	0.54	-8.05	-0.22	1.35	-0.99	-0.10	0.02
8.62	104.00	-0.37	40.55	0.55	-8.04	-0.20	1.36	-0.99	-0.10	0.02
8.63	104.00	-0.37	40.55	0.55	-8.03	-0.23	1.36	-0.99	-0.10	0.02
8.64	104.00	-0.34	40.55	0.58	-8.05	-0.21	1.36	-0.99	-0.10	0.02
8.65	104.00	-0.34	40.55	0.55	-8.06	-0.26	1.36	-0.99	-0.10	0.02
8.66	104.00	-0.34	40.55	0.52	-8.08	-0.25	1.36	-0.99	-0.10	0.02
8.67	104.00	-0.34	40.55	0.52	-8.04	-0.27	1.36	-0.99	-0.10	0.02
8.68	104.00	-0.34	40.55	0.55	-8.03	-0.26	1.36	-0.99	-0.10	0.02
8.69	104.00	-0.34	40.55	0.52	-8.06	-0.26	1.37	-0.99	-0.10	0.02
8.70	104.00	-0.34	40.55	0.52	-8.05	-0.25	1.37	-0.99	-0.10	0.02
8.71	104.00	-0.34	40.55	0.52	-8.04	-0.25	1.37	-0.99	-0.10	0.02
8.72	104.00	-0.33	40.55	0.56	-8.04	-0.24	1.37	-0.99	-0.10	0.02
8.73	104.00	-0.33	40.55	0.54	-8.06	-0.28	1.37	-0.99	-0.10	0.02
8.74	104.00	-0.33	40.55	0.54	-8.07	-0.27	1.37	-0.99	-0.10	0.02
8.75	104.00	-0.35	40.55	0.55	-8.06	-0.27	1.37	-0.99	-0.10	0.02
8.76	104.00	-0.35	40.55	0.58	-8.04	-0.29	1.38	-0.99	-0.10	0.02
8.77	104.00	-0.35	40.55	0.54	-8.04	-0.28	1.38	-0.99	-0.10	0.02
8.78	104.00	-0.35	40.55	0.54	-8.06	-0.25	1.38	-0.99	-0.10	0.02
8.79	104.00	-0.31	40.55	0.57	-8.06	-0.26	1.38	-0.99	-0.10	0.02
8.80	104.00	-0.31	40.55	0.57	-8.06	-0.30	1.38	-0.99	-0.10	0.02
8.81	104.00	-0.31	40.55	0.58	-8.06	-0.30	1.38	-0.99	-0.10	0.02
8.82	104.00	-0.31	40.55	0.61	-8.06	-0.33	1.38	-0.99	-0.10	0.02
8.83	104.00	-0.31	40.55	0.61	-8.05	-0.25	1.38	-0.99	-0.10	0.02
8.84	104.00	-0.31	40.55	0.57	-8.05	-0.29	1.39	-0.99	-0.10	0.02
8.85	104.00	-0.31	40.55	0.57	-8.03	-0.26	1.39	-0.99	-0.10	0.02
8.86	104.00	-0.31	40.55	0.60	-8.13	-0.28	1.39	-0.99	-0.10	0.02
8.87	104.00	-0.31	40.55	0.66	-8.05	-0.31	1.39	-0.99	-0.10	0.02
8.88	104.00	-0.31	40.55	0.62	-8.04	-0.32	1.39	-0.99	-0.10	0.02
8.89	104.00	-0.31	40.55	0.62	-8.06	-0.28	1.39	-0.99	-0.10	0.02
8.90	104.00	-0.31	40.55	0.61	-8.08	-0.30	1.39	-0.99	-0.10	0.02
8.91	104.00	-0.31	40.55	0.58	-8.08	-0.30	1.40	-0.99	-0.10	0.02
8.92	104.00	-0.31	40.55	0.64	-8.06	-0.33	1.40	-0.99	-0.10	0.02
8.93	104.00	-0.31	40.55	0.66	-8.08	-0.35	1.40	-0.99	-0.10	0.02
8.94	104.00	-0.31	40.55	0.64	-8.06	-0.31	1.40	-0.99	-0.10	0.02
8.95	104.00	-0.33	40.56	0.59	-8.06	-0.25	1.40	-0.99	-0.10	0.02
8.96	104.00	-0.33	40.56	0.60	-8.04	-0.26	1.40	-0.99	-0.10	0.02
8.97	104.00	-0.33	40.56	0.63	-8.02	-0.25	1.40	-0.99	-0.10	0.02
8.98	104.00	-0.32	40.56	0.63	-8.07	-0.27	1.40	-0.99	-0.10	0.02
8.99	104.00	-0.32	40.56	0.67	-8.09	-0.36	1.40	-0.99	-0.10	0.02
9.00	104.00	-0.32	40.56	0.66	-8.07	-0.32	1.41	-0.99	-0.10	0.02
